id1,id2,weight
átimo,instante,1
ativa,parte,1
ativa,voz,1
atmosfera,massa,1
ato,ação,1
ato,divisão,1
atol,ilha,1
atoleiro,pântano,1
atomicidade,e,1
átomo,fração,1
ator,agente,1
ator,cinema,1
atracação,ato,1
atração,força,1
atribuição,ato,1
átrio,pátio,1
atrito,fricção,1
atriz,mulher,1
atuação,ato,1
atualidade,época,1
atum,peixe,1
audição,faculdade,1
audição,concerto,1
audiência,sessão,1
auditório,a,1
auge,grau,1
aura,vento,1
auréola,coroa,1
aurícula,pavilhão,1
aurícula,orelha,1
aurícula,cavidade,1
aurora,claridade,1
ausência,falta,1
austeridade,rigor,1
austeridade,integridade,1
autêntica,certidão,1
autenticidade,qualidade,1
autismo,leva,1
auto,relato,1
auto-atendimento,expressão,1
auto-de-fé,cerimônia,1
auto-imagem,imagem,1
auto-retrato,retrato,1
auto-sugestão,ação,1
autobiografia,vida,1
autoclave,instrumento,1
autoconfiança,confiança,1
autocontrole,controle,1
autocrítica,mesma,1
autodefesa,defesa,1
autogestão,gestão,1
autogiro,avião,1
autógrafo,escrito,1
autógrafo,assinatura,1
automatismo,ausência,1
automatismo,movimento,1
autômato,figura,1
automobilismo,esporte,1
autópsia,exame,1
autor,agente,1
autor,escritor,1
autoria,lavra,1
autoria,qualidade,1
auxílio,ajuda,1
aval,garantia,1
avalancha,massa,1
avaliação,apreciação,1
avanço,impulso,1
avareza,apego,1
ave,corpo,1
ave-maria,oração,1
avelã,fruto,1
aveleira,árvore,1
avenca,denominação,1
avenida,estrada,1
avental,peça,1
aventura,acontecimento,1
aventureiro,aventura,1
averiguação,ação,1
avesso,lado,1
avestruz,ave,1
aviação,navegação,1
avião,aeronave,1
avião,mulher,1
aviário,viveiro,1
aviário,a,1
avicultor,cria,1
avicultura,criação,1
avidez,apetite,1
aviso,comunicação,1
aviso,notícia,1
avitaminose,estado,1
avo,fração,1
avô,pai,1
avó,a,1
axila,cavidade,1
axônio,célula,1
azaléa,e,1
azar,sorte,1
azar,infortúnio,1
azedume,sabor,1
azeite,óleo,1
azeiteiro,indivíduo,1
azeitona,fruto,1
azeitoneira,vasilha,1
azêmola,carga,1
azenha,moinho,1
azimute,arco,1
azo,ocasião,1
azorrague,açoite,1
azulejo,ladrilho,1
babá,ama,1
babaçu,variedade,1
babado,tecido,1
babalorixá,sacerdote,1
babilônia,babel,1
babugem,baba,1
babugem,espuma,1
bacalhau,peixe,1
bacalhoada,quantidade,1
bacalhoada,comida,1
bacamarte,arma,1
bacanal,a,1
bacante,mulher,1
bacará,jogo,1
bacharel,grau,1
bacharelado,grau,1
bacia,vaso,1
baço,víscera,1
badalo,haste,1
badejo,denominação,1
baderna,bando,1
badulaque,guisado,1
badulaque,objeto,1
bafio,cheiro,1
bafo,ar,1
baga,fruto,1
bagaceira,aguardente,1
bagaceira,lugar,1
bagana,toco,1
bago,grão,1
bago,fruto,1
bagre,denominação,1
bagulho,semente,1
bagunça,máquina,1
baía,golfo,1
baiacu,peixe,1
baiana,mulher,1
baianada,expressão,1
baião,dança,1
bailado,tipo,1
baile,festa,1
bainha,estojo,1
bainha,dobra,1
baioneta,lâmina,1
bairrismo,ato,1
baixa,depressão,1
baixa,redução,1
baixa,retirada,1
baixo-relevo,obra,1
baixo-ventre,parte,1
bala,arma,1
balaio,cesto,1
balança,aparelho,1
balanço,oscilação,1
balanço,brinquedo,1
balão,globo,1
balão,globo,1
balbúrdia,desordem,1
balcão,varanda,1
balcão,mesa,1
balde,vaso,1
baleia,animal,1
balido,grito,1
balística,ciência,1
baliza,marco,1
balneário,casa,1
balsa,jangada,1
bambino,rapaz,1
