id1,id2,weight
carícia,meiguice,1
borrada,borra,1
curra,ato,1
bisnaga,canudo,1
fase,aspecto,1
ingratidão,carência,1
arcabouço,ação,1
afã,esforço,1
conversação,conversa,1
estância,ação,1
conversação,palestra,1
carnação,vogal,1
administração,gerência,1
barraca,residência,1
cosmologia,ciência,1
goiaba,resultado,1
navalha,meio,1
lacticínio,aptidão,1
travessia,ato,1
véspera,espaço,1
guilhotina,meio,1
cabeçada,tolice,1
guia,direção,1
apóstrofe,interrupção,1
geotropismo,ato,1
ecossistema,modo,1
faquir,relação,1
réplica,divisão,1
bagulho,semente,1
honraria,ato,1
intuição,raciocínio,1
repique,sinal,1
pêndulo,instrumento,1
vela,composição,1
arrancada,saída,1
siso,juízo,1
paragem,divisão,1
tamis,aro,1
lote,parte,1
metanol,álcool,1
desconchavo,disparate,1
tona,casca,1
reinado,estado,1
brasão,amparo,1
imaginação,escola,1
ensaio,discurso,1
pândega,ação,1
cotação,argumento,1
número,seqüência,1
gravidade,atração,1
co-secante,complemento,1
aborrecimento,ato,1
clube,grêmio,1
crocodilo,relação,1
cardiografia,divisão,1
coroação,título,1
vereda,estrada,1
rotulagem,ato,1
vaca,mulher,1
onça,número,1
contra-revolução,caso,1
cabana,estabelecimento,1
vocabulário,coleção,1
avaliação,apreciação,1
moenda,operação,1
amora,fruto,1
macuta,coisa,1
mundo,caso,1
trejeito,máscara,1
pâncreas,estrutura,1
arriba,riba,1
arrebatamento,juízo,1
congregação,reunião,1
fator,maneira,1
fonte,espaço,1
girino,forma,1
tenta,aparelho,1
canindé,corpo,1
candidato,relação,1
libelo,papel,1
castelhano,caso,1
chorão,nome,1
braseiro,objeto,1
ciberpornografia,aviso,1
igualitarismo,modo,1
operação,concreção,1
recheio,título,1
envelhecimento,ação,1
colaboração,força,1
inação,inatividade,1
nódulo,laço,1
cinesia,divisão,1
conseqüência,conclusão,1
vacinação,atividade,1
orla,margem,1
relento,umidade,1
fraude,juízo,1
agência,casa,1
display,parte,1
funeral,cerimônia,1
coxeadura,atividade,1
palheta,paleta,1
lactose,açúcar,1
bacalhau,animal,1
centurião,centúria,1
concurso,ato,1
espécime,relação,1
fonologia,ato,1
parada,juízo,1
flanela,trama,1
matéria,matéria,1
hipotensão,tensão,1
hidrofobia,emoção,1
casimira,pano,1
isqueiro,instrumento,1
robustez,determinação,1
fama,reputação,1
liquefação,ato,1
berne,estado,1
desaperto,argumento,1
humanidade,essência,1
lanceiro,haste,1
federação,união,1
microsoft,década,1
quinta,feição,1
amostra,mostra,1
conselho,parte,1
reparação,atividade,1
palimpsesto,livro,1
parelha,matéria,1
afixo,ação,1
vau,lugar,1
error,ato,1
arbitragem,sentença,1
displasia,modificação,1
baioneta,folha,1
emirado,extensão,1
ciprinocultura,educação,1
demagogo,indivíduo,1
debruxo,desenho,1
segurança,ação,1
dedicação,atividade,1
boquinha,refeição,1
engulho,enjôo,1
mania,esquisitice,1
marfim,caso,1
orla,lado,1
lástima,nota,1
floreio,força,1
salseiro,pancada,1
dignidade,decoro,1
fimose,fenda,1
teogonia,série,1
goteira,telhado,1
execução,ato,1
acidente,objeto,1
giro,ato,1
co-produção,título,1
a,abreviatura,1
copeira,vogal,1
goto,lugar,1
usucapião,maneira,1
gol,meta,1
reencarnação,divisão,1
diocese,ação,1
municipalidade,câmara,1
fruto,órgão,1
livraria,casa,1
contradita,argumento,1
bingo,folguedo,1
indício,rastro,1
demônio,diabo,1
ginecofobia,receio,1
conjugação,ato,1
aio,camareiro,1
casulo,forro,1
abaixo-assinado,papel,1
tarefa,obrigação,1
carburação,cálculo,1
angústia,agonia,1
direita,vogal,1
dente,homem,1
aquário,água,1
fecundidade,capacidade,1
losango,paralelogramo,1
diácono,indivíduo,1
sinal,ação,1
marco,raia,1
cocada,pancada,1
obstrução,ação,1
estádio,área,1
regato,carreira,1
desafio,ato,1
estalão,padrão,1
camisinha,ato,1
calão,língua,1
ave-maria,juízo,1
evidência,certeza,1
dermatologia,ramo,1
decoração,argumento,1
declaração,fé,1
diligência,investigação,1
habilitação,aptidão,1
canhão,composição,1
litografia,pedra,1
cunha,composição,1
merecimento,objeto,1
alçapão,tampa,1
misticismo,consideração,1
boitatá,labareda,1
fungo,organismo,1
diâmetro,segmento,1
canseira,esforço,1
diária,renda,1
limoeiro,família,1
paçoca,letra,1
corpúsculo,fração,1
justiça,execução,1
balsa,nome,1
amparo,juízo,1
melhora,atividade,1
desculpa,ação,1
costela,vogal,1
coxeadura,ato,1
estatística,ciência,1
g,caso,1
palito,madeira,1
apoplexia,seguida,1
delegacia,jurisdição,1
ruptura,força,1
aviário,recinto,1
canhonaço,ato,1
gripe,ação,1
bonança,duração,1
pangaré,homem,1
criancice,ato,1
congruência,harmonia,1
tarântula,gênero,1
oração,ato,1
carreto,divisão,1
lomba,excrescência,1
falência,força,1
concordância,ação,1
gambá,hábito,1
lá,observação,1
invenção,faculdade,1
engenho,aptidão,1
charlatão,boa-fé,1
juntada,ato,1
coxa,parte,1
fatura,analogia,1
paixão,fé,1
penicilina,reunião,1
anarquia,negação,1
mobília,estabelecimento,1
infiltração,ação,1
odor,impressão,1
digressão,falta,1
maneirismo,afetação,1
temperatura,maneira,1
ciprinocultura,alimentação,1
recado,notícia,1
massapê,pátria,1
cafua,antro,1
floresta,mata,1
dinossauro,sensibilidade,1
nabo,raiz,1
romance,historieta,1
cartel,epístola,1
fosso,cavidade,1
metralha,designação,1
estigmologia,ato,1
motivação,ato,1
salvaguarda,objeto,1
cerveja,bebida,1
calote,expressão,1
regra,emprego,1
cirurgião,clínico,1
expiação,confessor,1
fraude,força,1
escaninho,compartimento,1
mastigação,divisão,1
base,base,1
tecido,pano,1
impossibilidade,falta,1
distrito,operação,1
xilogravura,gravura,1
gestão,ação,1
escrito,documento,1
diferencial,órgão,1
genótipo,constituição,1
rasto,vestígio,1
grua,fêmea,1
cancha,campo,1
hodômetro,meio,1
loto,coleção,1
sindicalismo,ação,1
caixa,coleção,1
batalhão,corpo,1
arrebatamento,força,1
ciranda,dança,1
alcalinidade,situação,1
querela,acusação,1
madrasta,mulher,1
acrópole,cidadela,1
serrote,instrumento,1
burro,jumento,1
urubu,gênero,1
canela,casca,1
ruminante,víscera,1
hidrostática,lado,1
franqueza,lisura,1
estribo,degrau,1
família,caso,1
marroquim,pele,1
serragem,parte,1
impressão,força,1
descarga,ato,1
libido,faculdade,1
depredação,juízo,1
vaqueiro,guarda,1
caviar,iguaria,1
comparação,ato,1
néctar,ação,1
estardalhaço,exibição,1
convívio,convivência,1
ecossistema,combinação,1
hagiografia,descrição,1
forca,meio,1
chato,relação,1
robô,autômato,1
compilação,resultado,1
rolha,parte,1
definhamento,atividade,1
engasgo,ato,1
hectare,medida,1
segurança,coisa,1
bonificação,fiança,1
chama,labareda,1
dístico,rótulo,1
palhaçada,ação,1
caxinguelê,caxinguelê,1
fome,miséria,1
disfunção,trabalho,1
canteiro,lado,1
paladar,céu,1
mesada,quantia,1
selva,extensão,1
vidro,letra,1
falange,ação,1
graça,obséquio,1
instância,limite,1
depressão,força,1
boquinha,feitio,1
verdade,matéria,1
tabelião,letra,1
retenção,demora,1
capacho,marido,1
currículo,carreira,1
inatividade,qualidade,1
urbanismo,ciência,1
féria,dia,1
saco,receptáculo,1
goiva,folha,1
seringueira,tronco,1
desprazer,falta,1
bitola,operação,1
dentina,marfim,1
reprovação,ato,1
bigamia,maneira,1
eucaristia,caso,1
cocheira,lugar,1
desagregação,juízo,1
natação,força,1
instrumento,meio,1
impermeabilidade,maneira,1
coluna,divisão,1
malha,força,1
albatroz,ave,1
gafa,enfermidade,1
parábola,relato,1
massagem,ação,1
tubo,canudo,1
automatismo,falta,1
talante,manifestação,1
termodinâmica,aplicação,1
metafísica,lado,1
caminhada,ação,1
império,modo,1
hipismo,esporte,1
câncer,grupo,1
confete,feita,1
situação,modo,1
idéia,fantasia,1
convergência,ato,1
sensibilidade,escola,1
ensino,instrução,1
notificação,ação,1
transbordo,passa,1
chorão,vogal,1
coruja,corpo,1
joalheria,caso,1
cânon,tira,1
simpatia,inclinação,1
migração,trecho,1
ceva,ato,1
covo,curral,1
gabinete,escritório,1
regimento,atividade,1
córtex,trama,1
hóquei,folguedo,1
liquidação,ação,1
cultura,ato,1
semi-internato,ato,1
devassidão,ação,1
juízo,conveniência,1
região,lado,1
digitação,ação,1
consideração,ato,1
haste,pau,1
grêmio,comunhão,1
brado,berro,1
escarcela,sala,1
tampinha,pequena,1
sino,instrumento,1
nudação,força,1
nevada,vogal,1
diabrete,diabo,1
astenia,debilidade,1
jejum,abstinência,1
salvação,força,1
aba,saliência,1
viúvo,marido,1
casa-grande,estabelecimento,1
trilho,caminho,1
civilização,letra,1
recomendação,divisão,1
hidravião,mulher,1
terço,caso,1
saltimbanco,sentimento,1
síndico,coisa,1
grumo,resultado,1
co-autoria,qualidade,1
clara,vogal,1
endecha,composição,1
desagregação,ação,1
altruísmo,afeto,1
diâmetro,parte,1
monogamia,condição,1
comissura,ação,1
autêntica,documento,1
educação,civilidade,1
opressão,ato,1
lorde,título,1
ginge,calafrio,1
zôo,representação,1
bingo,coleção,1
exuberância,intensidade,1
lema,letreiro,1
bardo,abreviatura,1
badulaque,iguaria,1
furão,sangue,1
lombada,ladeira,1
ré,observação,1
vaca,animal,1
catequização,ação,1
mioma,aumento,1
leite,forma,1
cobrimento,título,1
barca,ação,1
malgrado,desagrado,1
caboclada,reunião,1
coroinha,menino,1
saudade,ato,1
ataque,assalto,1
emulsão,feita,1
disponibilidade,qualidade,1
luz,luz,1
bem,satisfação,1
regressão,ato,1
epicentro,corpo,1
barriga,abreviatura,1
lábia,conversa,1
terneiro,cria,1
narcisismo,paixão,1
localização,atividade,1
secreção,força,1
brasilianismo,trabalho,1
medida,ato,1
alma,espectro,1
mosquiteiro,armação,1
constituição,feitio,1
fuligem,matéria,1
expulsão,divisão,1
camiseta,peça,1
alcoviteiro,agente,1
sistema,acordo,1
emulsão,vez,1
valorar,ato,1
tolerância,qualidade,1
ambulância,ação,1
moicanos,descendência,1
barganha,coisa,1
moldagem,ação,1
regional,reverência,1
caução,garantia,1
comédia,peça,1
gravame,imposto,1
barbeiro,abreviatura,1
cambista,casa,1
transfusão,via,1
vacilação,ação,1
microbiologia,estudo,1
servidão,condição,1
crepe,tecido,1
ourivesaria,oficina,1
salseiro,bordoada,1
rapsódia,composição,1
bidê,sorte,1
toucador,vidro,1
secura,determinação,1
chorumela,matéria,1
sensatez,senso,1
infração,ato,1
longevidade,longa,1
fisco,instrumento,1
pediatria,descendência,1
truísmo,coisa,1
fado,destino,1
ala,lado,1
arritmia,falta,1
inópia,miséria,1
cantada,ação,1
descoberta,faculdade,1
chocarrice,ação,1
montra,série,1
arbitrariedade,ação,1
feita,ocasião,1
fascinação,força,1
coagulação,condensação,1
enciclopédia,efeito,1
logotipo,matriz,1
patela,exercício,1
grandiloqüência,uso,1
cata,separação,1
véspera,vogal,1
duque,título,1
memorando,coleção,1
detença,força,1
fidelidade,fidelidade,1
louvor,divisão,1
dissolução,atividade,1
ladroeira,juízo,1
palavra,vocábulo,1
traquéia,canal,1
fonologia,trabalho,1
monarquia,estado,1
nomenclatura,coleção,1
caninha,moça,1
desconcerto,ato,1
hospitalidade,qualidade,1
morcego,ordem,1
hedonismo,doutrina,1
descompasso,omissão,1
recita,exibição,1
tampinha,jogo,1
comunicação,aviso,1
transporte,ação,1
cerco,círculo,1
exposição,explicação,1
dição,caso,1
desilusão,ação,1
salseiro,choque,1
desatenção,omissão,1
larva,maneira,1
divisão,intervenção,1
nascimento,ato,1
agenda,coleção,1
datiloscopia,sistema,1
adoração,caso,1
zoologia,ramo,1
modelagem,objeto,1
desembarque,juízo,1
ode,composição,1
evento,acaso,1
lezíria,parte,1
ficção,matéria,1
microsoft,espaço,1
rejeição,ação,1
calorimetria,divisão,1
